web-scraper-order,web-scraper-start-url,title,house,totalPrice,unitPrice,area,houseInfo
"1624764963-9727","https://hz.lianjia.com/ershoufang/yuhang/pg22","精装三房，不沿马路 ，采光充足，视野开阔 房东诚心卖","绿城桃源小镇","320万","单价38205元/平米","闲林","3室2厅 | 83.76平米 | 南 | 精装 | 31层  | 板塔结合"
"1624764851-8719","https://hz.lianjia.com/ershoufang/yuhang/pg56","小区中间位置，南邻花园 ，大四房户型方正利用率高。","雅居乐国际花园","395万","单价28678元/平米","闲林","4室2厅 | 137.74平米 | 南 北 | 毛坯 | 32层  | 塔楼"
"1624764723-7586","https://hz.lianjia.com/ershoufang/yuhang/pg93","房东诚心出售 价格都可以谈的 还有一个储藏室","天阳棕榈湾一期","405万","单价23577元/平米","良渚","3室2厅 | 171.78平米 | 南 | 精装 | 5层  | 板楼"
"1624764768-7958","https://hz.lianjia.com/ershoufang/yuhang/pg81","3室2厅2卫精装房家具家电全包，中间楼层朝南南北通","万科杭宸一期","440万","单价49344元/平米","勾庄","3室2厅 | 89.17平米 | 南 | 精装 | 18层  | 板楼"
"1624764876-8937","https://hz.lianjia.com/ershoufang/yuhang/pg48","电梯房，满五唯一，沿河，楼层位置好","岸上蓝山","270万","单价31110元/平米","闲林","2室2厅 | 86.79平米 | 南 | 简装 | 低楼层(共11层)  | 板楼"
"1624764963-9722","https://hz.lianjia.com/ershoufang/yuhang/pg22","绿城品质，采光充足，视野好，小区内部配套齐全","绿城桃源小镇","280万","单价31518元/平米","闲林","3室1厅 | 88.84平米 | 南 | 精装 | 9层  | 板塔结合"
"1624765009-10156","https://hz.lianjia.com/ershoufang/yuhang/pg8","良渚新城 东边套 业主诚心出售","万科未来城三期梦溪里","380万","单价42463元/平米","良渚","3室2厅 | 89.49平米 | 南 | 精装 | 21层  | 板楼"
"1624764800-8255","https://hz.lianjia.com/ershoufang/yuhang/pg71","楼层高，视野好，自住精装，拎包入住，未来科技城板块","保亿丽景山","428万","单价48069元/平米","未来科技城","3室2厅 | 89.04平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼"
"1624764860-8800","https://hz.lianjia.com/ershoufang/yuhang/pg53","爵士风情一楼带大花园，满五年，南面泳池，无遮挡","爵士风情花园","350万","单价29046元/平米","闲林","3室2厅 | 120.5平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼"
"1624764847-8680","https://hz.lianjia.com/ershoufang/yuhang/pg57","精装带地暖，小区中间位置中间楼层，采光无遮挡","富力西溪悦居溪区","580万","单价65434元/平米","未来科技城","3室2厅 | 88.64平米 | 南 | 精装 | 中楼层(共10层)  | 板楼"
"1624765018-10224","https://hz.lianjia.com/ershoufang/yuhang/pg5","闲林山水五期，2012年，西边套，阳光、视野俱佳","闲林山水梅兰苑","251万","单价31585元/平米","闲林","2室2厅 | 79.47平米 | 南 | 精装 | 6层  | 板塔结合"
"1624764843-8637","https://hz.lianjia.com/ershoufang/yuhang/pg58","三房，满五唯一，精装修，高层，采光好","九衡公寓","265万","单价35320元/平米","良渚","3室2厅 | 75.03平米 | 南 北 | 精装 | 11层  | 板塔结合"
"1624764990-9979","https://hz.lianjia.com/ershoufang/yuhang/pg14","凤溪路，户型方正，采光通透，纯西边套，满五","凤溪路211号","186万","单价14920元/平米","瓶窑","3室2厅 | 124.67平米 | 南 北 | 简装 | 6层  | 板塔结合"
"1624764892-9111","https://hz.lianjia.com/ershoufang/yuhang/pg43","岸上蓝山，采光充足，不满五年，诚心出售！","岸上蓝山","280万","单价26223元/平米","闲林","3室2厅 | 106.78平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼"
"1624764840-8610","https://hz.lianjia.com/ershoufang/yuhang/pg59","未来科技城低价捡漏好房源，近地铁、浙一余杭分院","青枫墅园三期","450万","单价50190元/平米","未来科技城","3室2厅 | 89.66平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合"
"1624764824-8462","https://hz.lianjia.com/ershoufang/yuhang/pg64","拎包入住，楼层位置不错，采光充足，诚心出售","万科北宸之光三期拱宸","360万","单价41007元/平米","万达广场","3室2厅 | 87.79平米 | 南 | 精装 | 25层  | 板楼"
"1624765025-10301","https://hz.lianjia.com/ershoufang/yuhang/pg3","西边套，精装修。满五唯一，业主诚心出售。","东海·闲湖城","435万","单价37056元/平米","闲林","3室2厅 | 117.39平米 | 南 西 北 | 精装 | 低楼层(共29层)  | 板楼"
"1624764708-7479","https://hz.lianjia.com/ershoufang/yuhang/pg97","碧景园，老余杭品质花园洋房小区，人车分流，户型正气","碧景园","395万","单价30091元/平米","未来科技城","3室2厅 | 131.27平米 | 南 | 精装 | 6层  | 板楼"
"1624764778-8058","https://hz.lianjia.com/ershoufang/yuhang/pg78","三房两卫户型，通透性好，双阳台，视野开阔，采光好","卓越蔚蓝领秀二期","235万","单价26237元/平米","星桥","3室2厅 | 89.57平米 | 南 | 简装 | 低楼层(共17层)  | 板楼"
"1624764901-9190","https://hz.lianjia.com/ershoufang/yuhang/pg40","好楼层 精装修大三房满两年，采光充足，视野开阔。","竹海水韵","512万","单价40016元/平米","闲林","3室2厅 | 127.95平米 | 南 | 精装 | 高楼层(共10层)  | 板楼"
"1624764860-8806","https://hz.lianjia.com/ershoufang/yuhang/pg53","爵士风情，全明3房2卫，价格含车位，可满五过户","爵士风情花园","305万","单价28375元/平米","闲林","3室2厅 | 107.49平米 | 南 北 | 精装 | 6层  | 板楼"
"1624764797-8229","https://hz.lianjia.com/ershoufang/yuhang/pg72","成熟小区配套好生活交通便利有地铁！","景瑞御蓝湾","280万","单价32100元/平米","未来科技城","3室1厅 | 87.23平米 | 南 西南 | 精装 | 18层  | 板楼"
"1624764983-9894","https://hz.lianjia.com/ershoufang/yuhang/pg16","本房子，采光很好，高楼层，好视野！","翡翠城二期","368万","单价44152元/平米","翡翠城","2室1厅 | 83.35平米 | 南 | 简装 | 11层  | 板楼"
"1624765025-10295","https://hz.lianjia.com/ershoufang/yuhang/pg3","自住精装两房 满五唯一 置换诚心出售","绿城桃源小镇","284万","单价31535元/平米","闲林","2室2厅 | 90.06平米 | 南 | 精装 | 11层  | 板塔结合"
"1624764847-8662","https://hz.lianjia.com/ershoufang/yuhang/pg57","雅居乐大三房，东边套全明户型，房东诚心出售","雅居乐国际花园","400万","单价31403元/平米","闲林","4室1厅 | 127.38平米 | 南 | 简装 | 中楼层(共33层)  | 板楼"
"1624765015-10220","https://hz.lianjia.com/ershoufang/yuhang/pg6","未来科技城 花园电梯洋房 诚心出售 好户型","爱丁郡","347万","单价39563元/平米","翡翠城","3室1厅 | 87.71平米 | 南 | 简装 | 7层  | 板楼"
"1624765022-10254","https://hz.lianjia.com/ershoufang/yuhang/pg4","五常板块电梯房次顶楼采光好交通便捷","盛世嘉园","315万","单价26522元/平米","闲林","3室1厅 | 118.77平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合"
"1624764863-8827","https://hz.lianjia.com/ershoufang/yuhang/pg52","位置安静 正对网球场 视野不遮挡 光线充足","闲林山水木兰苑","365万","单价28802元/平米","闲林","3室1厅 | 126.73平米 | 南 北 | 精装 | 5层  | 板塔结合"
"1624764750-7821","https://hz.lianjia.com/ershoufang/yuhang/pg86","地铁口现房，业主诚心出售，户型方正，双阳台！","卓越蔚蓝领秀二期","238万","单价26581元/平米","星桥","3室2厅 | 89.54平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼"
"1624764840-8615","https://hz.lianjia.com/ershoufang/yuhang/pg59","业主诚意出售！中间套户型楼层好采光充足视野景观佳","大华海派风景","330万","单价37535元/平米","万达广场","3室1厅 | 87.92平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼"
"1624764879-8962","https://hz.lianjia.com/ershoufang/yuhang/pg47","绿城物业，改善大三房户型，自住精装","中港罗兰小镇","359万","单价32501元/平米","闲林","3室1厅 | 110.46平米 | 南 北 | 精装 | 18层  | 板楼"
"1624764854-8728","https://hz.lianjia.com/ershoufang/yuhang/pg55","户型很好  看房方便 诚心出售","闲林山水木兰苑","307万","单价24873元/平米","闲林","3室2厅 | 123.43平米 | 南 | 精装 | 5层  | 板塔结合"
"1624764768-7948","https://hz.lianjia.com/ershoufang/yuhang/pg81","轻轨口，刚需小户型，中高楼层，户型方正，视线开阔","众安学君里","350万","单价39133元/平米","未来科技城","3室2厅 | 89.44平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼"
"1624764946-9566","https://hz.lianjia.com/ershoufang/yuhang/pg27","三开间朝南，楼间距宽敞，采光充足。","竹海水韵春风里","288万","单价33153元/平米","闲林","3室1厅 | 86.87平米 | 南 北 | 精装 | 18层  | 板塔结合"
"1624764997-10040","https://hz.lianjia.com/ershoufang/yuhang/pg12","绿城品质大三房 满五 电梯中间楼层自住装修全屋空调","翡翠城一期","580万","单价42710元/平米","翡翠城","3室2厅 | 135.8平米 | 南 北 | 精装 | 17层  | 板楼"
"1624764997-10024","https://hz.lianjia.com/ershoufang/yuhang/pg12","满五年 大四房  精装修  带跃层","盛世嘉园","360万","单价29115元/平米","闲林","4室2厅 | 123.65平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合"
"1624764837-8594","https://hz.lianjia.com/ershoufang/yuhang/pg60","此房是顶跃户型，视野开阔，采光充足","望城","365万","单价40801元/平米","良渚","3室2厅 | 89.46平米 | 南 | 毛坯 | 12层  | 板塔结合"
"1624764940-9525","https://hz.lianjia.com/ershoufang/yuhang/pg29","中上楼层，房东自住精装修 看房方便诚心出售","佳兆业西溪璞园","385万","单价43454元/平米","闲林","3室2厅 | 88.6平米 | 南 | 精装 | 18层  | 板楼"
"1624764895-9118","https://hz.lianjia.com/ershoufang/yuhang/pg42","小三房，户型方正，采光十足，小区中间位置","新西湖小镇","280万","单价30258元/平米","闲林","3室2厅 | 92.54平米 | 南 | 精装 | 11层  | 板楼"
"1624764804-8299","https://hz.lianjia.com/ershoufang/yuhang/pg70","房东诚心，未来科技城地铁口300米翡翠城三期，","翡翠城三期","490万","单价56264元/平米","翡翠城","3室2厅 | 87.09平米 | 南 | 精装 | 高楼层(共17层)  | 板楼"
"1624764860-8783","https://hz.lianjia.com/ershoufang/yuhang/pg53","爵士风情花园 3室1厅 南","爵士风情花园","328万","单价27503元/平米","闲林","3室1厅 | 119.26平米 | 南 | 简装 | 中楼层(共6层)  | 板楼"
"1624764831-8534","https://hz.lianjia.com/ershoufang/yuhang/pg62","房子中间套 房子满五年 视野佳采光好，看房提前约","青枫墅园三期","480万","单价53638元/平米","未来科技城","3室1厅 | 89.49平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼"
"1624764975-9836","https://hz.lianjia.com/ershoufang/yuhang/pg18","绿城品质，边套户型中高全天采光，看房随时业主诚心卖","上实海上海二期","440万","单价37746元/平米","良渚","4室2厅 | 116.57平米 | 南 | 毛坯 | 18层  | 板楼"
"1624764895-9138","https://hz.lianjia.com/ershoufang/yuhang/pg42","新西湖3房2卫户型，毛坯可自由装修，诚心出售","新西湖小镇","315万","单价26574元/平米","闲林","3室2厅 | 118.54平米 | 南 | 毛坯 | 31层  | 板楼"
"1624764727-7622","https://hz.lianjia.com/ershoufang/yuhang/pg92","良睦路在西，欢乐城在东 高楼层大面积  满五年","金都梧桐苑","418万","单价32932元/平米","翡翠城","3室2厅 | 126.93平米 | 南 | 简装 | 18层  | 板楼"
"1624764997-10020","https://hz.lianjia.com/ershoufang/yuhang/pg12","房子房东诚心出售，看好了就可以签，人在杭州的。","望城","258万","单价28355元/平米","良渚","3室1厅 | 90.99平米 | 南 | 精装 | 12层  | 板塔结合"
"1624764975-9833","https://hz.lianjia.com/ershoufang/yuhang/pg18","亲亲家园二期，沿河西边套，4房2卫，采光视野好！诚售","亲亲家园二期","435万","单价30005元/平米","三墩","4室2厅 | 144.98平米 | 南 | 简装 | 11层  | 板楼"
"1624764807-8314","https://hz.lianjia.com/ershoufang/yuhang/pg69","满五！自主精装，得房率蛮高，居住舒适，电梯房，诚售","闲林山水紫薇苑","400万","单价29003元/平米","闲林","4室2厅 | 137.92平米 | 东 南 | 精装 | 11层  | 板楼"
"1624764781-8063","https://hz.lianjia.com/ershoufang/yuhang/pg77","中间套 楼层好 精装修 看房方便 诚心出售","万通时尚公馆","500万","单价56339元/平米","未来科技城","3室1厅 | 88.75平米 | 南 | 精装 | 低楼层(共31层)  | 板楼"
"1624764743-7745","https://hz.lianjia.com/ershoufang/yuhang/pg88","万科 精装三房房 全新入住保养好视野宽阔 采光充足。","万科劝学里","300万","单价33708元/平米","良渚","3室1厅 | 89平米 | 南 | 精装 | 7层  | 板塔结合"
"1624764743-7757","https://hz.lianjia.com/ershoufang/yuhang/pg88","百家乐西园 3室1厅 南","百家乐西园","460万","单价52214元/平米","西溪","3室1厅 | 88.1平米 | 南 | 精装 | 低楼层(共6层)  | 板楼"
"1624765031-10371","https://hz.lianjia.com/ershoufang/yuhang/pg1","此房三房两卫，视野开阔，采光充足，配套设施齐全","雅居乐国际花园","290万","单价32475元/平米","闲林","3室2厅 | 89.3平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合"
"1624764790-8175","https://hz.lianjia.com/ershoufang/yuhang/pg74","跃层，位置安静，视野开阔，采光充足，诚心出售！","爵士风情花园","400万","单价20583元/平米","闲林","5室2厅 | 194.34平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼"
"1624764843-8647","https://hz.lianjia.com/ershoufang/yuhang/pg58","客厅带阳台，三开间朝南，精装修25万","越秀星汇悦城","385万","单价45375元/平米","良渚","3室2厅 | 84.85平米 | 南 | 精装 | 27层  | 板楼"
"1624764794-8189","https://hz.lianjia.com/ershoufang/yuhang/pg73","房东诚心卖，地理位置好，交通便利","赞成美树","290万","单价33219元/平米","勾庄","3室1厅 | 87.3平米 | 南 | 精装 | 16层  | 板楼"
"1624764743-7760","https://hz.lianjia.com/ershoufang/yuhang/pg88","未来城三期，良渚新城，精装修西边套，不沿高架安静","万科未来城三期梦溪里","360万","单价40228元/平米","良渚","3室1厅 | 89.49平米 | 南 | 精装 | 21层  | 板楼"
"1624764917-9349","https://hz.lianjia.com/ershoufang/yuhang/pg35","未来科技城 绿城物业 小镇生活 纯毛坯边套户型 诚售","绿城桃源小镇","379万","单价32727元/平米","闲林","3室2厅 | 115.81平米 | 东南 | 毛坯 | 34层  | 板塔结合"
"1624764963-9721","https://hz.lianjia.com/ershoufang/yuhang/pg22","高层住宅 楼层好 采光佳 视野开阔","绿城桃源小镇","325万","单价36995元/平米","闲林","3室2厅 | 87.85平米 | 南 | 毛坯 | 21层  | 板塔结合"
"1624765018-10240","https://hz.lianjia.com/ershoufang/yuhang/pg5","万科精装修， 距离地铁近，配套丰富","万科良渚文化村未来城","345万","单价40384元/平米","良渚","3室2厅 | 85.43平米 | 南 | 精装 | 11层  | 板楼"
"1624764807-8329","https://hz.lianjia.com/ershoufang/yuhang/pg69","未来科技城板块 三开间朝南 小区景观位置","合景天峻","515万","单价57996元/平米","未来科技城","3室2厅 | 88.8平米 | 南 | 精装 | 24层  | 板楼"
"1624764969-9778","https://hz.lianjia.com/ershoufang/yuhang/pg20","未来科技城联排，今年刚交付 绿城物业，品质好。","瑞城熙园","900万","单价60117元/平米","未来科技城","4室2厅 | 149.71平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅"
"1624764719-7573","https://hz.lianjia.com/ershoufang/yuhang/pg94","房子满五年，精装修自住，房东诚心出售，大面积的户型","铭雅苑东区","415万","单价25097元/平米","三墩","3室2厅 | 165.36平米 | 南 | 精装 | 高楼层(共6层)  | 板楼"
"1624764768-7950","https://hz.lianjia.com/ershoufang/yuhang/pg81","万科杭宸二期小高层，全明户型，布局合理","万科杭宸二期","445万","单价49777元/平米","勾庄","3室2厅 | 89.4平米 | 南 | 精装 | 11层  | 板楼"
"1624764959-9698","https://hz.lianjia.com/ershoufang/yuhang/pg23","融创品质小区，三开间朝南格局好，靠梧桐河环境好。","融创金成西溪海","410万","单价51180元/平米","闲林","3室2厅 | 80.11平米 | 南 | 简装 | 18层  | 板塔结合"
"1624764863-8820","https://hz.lianjia.com/ershoufang/yuhang/pg52","精装修  满五唯一  得房率高  南面沿河  诚心出售","竹海水韵竹邻间","360万","单价32418元/平米","闲林","3室1厅 | 111.05平米 | 南 | 精装 | 6层  | 板塔结合"
"1624764943-9538","https://hz.lianjia.com/ershoufang/yuhang/pg28","楼栋位置佳，视野好，户型方正，房东诚心出售","融创金成西溪海","380万","单价44228元/平米","闲林","3室1厅 | 85.92平米 | 南 北 | 简装 | 18层  | 板塔结合"
"1624764768-7959","https://hz.lianjia.com/ershoufang/yuhang/pg81","地铁口,位置好，视野开阔大花园，不靠高架，自住装修","融创金成英特学府","385万","单价43191元/平米","未来科技城","3室2厅 | 89.14平米 | 南 | 精装 | 18层  | 板塔结合"
"1624764870-8892","https://hz.lianjia.com/ershoufang/yuhang/pg50","禹杭路站旁 交通便利 品质小区 环境优美 自住精装","新明半岛","320万","单价37462元/平米","闲林","2室1厅 | 85.42平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合"
"1624764704-7436","https://hz.lianjia.com/ershoufang/yuhang/pg98","新西湖小镇 2室2厅 南","新西湖小镇","240万","单价26264元/平米","闲林","2室2厅 | 91.38平米 | 南 | 精装 | 27层  | 板楼"
"1624765025-10285","https://hz.lianjia.com/ershoufang/yuhang/pg3","户型方正，采光充足，环境优美！","滨江万家名城一期","420万","单价46823元/平米","万达广场","3室1厅 | 89.7平米 | 南 | 精装 | 24层  | 板楼"
"1624764895-9141","https://hz.lianjia.com/ershoufang/yuhang/pg42","未来科技城万达广场江南时代地铁楼盘","新明半岛","423万","单价30726元/平米","闲林","3室2厅 | 137.67平米 | 南 | 简装 | 11层  | 板塔结合"
"1624764810-8340","https://hz.lianjia.com/ershoufang/yuhang/pg68","大华海派跃层户型，客厅挑高*高！！","大华海派风景","385万","单价43440元/平米","万达广场","3室2厅 | 88.63平米 | 南 | 简装 | 中楼层(共11层)  | 板楼"
"1624764873-8902","https://hz.lianjia.com/ershoufang/yuhang/pg49","电梯房，自住装修，拎包入住，楼层好","盛世嘉园","330万","单价27785元/平米","闲林","3室2厅 | 118.77平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合"
"1624764824-8464","https://hz.lianjia.com/ershoufang/yuhang/pg64","精装修，业主诚心出售，看房提前预约，家里一般都有人","石榴派","280万","单价31132元/平米","良渚","3室1厅 | 89.94平米 | 南 北 | 精装 | 11层  | 板楼"
"1624765022-10271","https://hz.lianjia.com/ershoufang/yuhang/pg4","不沿高价不沿马路，小区中间位置，小区环境好","岸上蓝山","260万","单价29533元/平米","闲林","2室1厅 | 88.04平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼"
"1624764870-8877","https://hz.lianjia.com/ershoufang/yuhang/pg50","次新房，中间楼层，视野开口，诚心出售","雅居乐国际花园","385万","单价30315元/平米","闲林","3室2厅 | 127平米 | 南 北 | 毛坯 | 33层  | 板塔结合"
"1624764750-7798","https://hz.lianjia.com/ershoufang/yuhang/pg86","西房余杭公馆3-2-1-2 89.00m²","西房余杭公馆","450万","单价50625元/平米","未来科技城","3室2厅 | 88.89平米 | 南 | 精装 | 中楼层(共17层)  | 板楼"
"1624764886-9047","https://hz.lianjia.com/ershoufang/yuhang/pg45","次新房，两房小面积洋房 业主诚心卖 环境优美","绿城桃源小镇","255万","单价40690元/平米","闲林","2室1厅 | 62.67平米 | 南 | 精装 | 7层  | 板塔结合"
"1624764886-9042","https://hz.lianjia.com/ershoufang/yuhang/pg45","新西湖小镇 景观房 可以观赏南湖 3房2卫 随时看房","新西湖小镇","288万","单价24522元/平米","闲林","3室2厅 | 117.45平米 | 南 北 | 毛坯 | 25层  | 板楼"
"1624764794-8211","https://hz.lianjia.com/ershoufang/yuhang/pg73","轻轨口，装修好，中高楼层，户型方正，视线开阔。","众安学君里","435万","单价48571元/平米","未来科技城","3室2厅 | 89.56平米 | 南 | 精装 | 24层  | 板楼"
"1624764963-9729","https://hz.lianjia.com/ershoufang/yuhang/pg22","中间楼层 业主诚心出售 小区环境好 品质楼盘","绿城桃源小镇","350万","单价40379元/平米","闲林","3室2厅 | 86.68平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合"
"1624764810-8336","https://hz.lianjia.com/ershoufang/yuhang/pg68","业主自住，西边套，精装修，看房提前预约","景瑞御蓝湾","330万","单价37196元/平米","未来科技城","3室2厅 | 88.72平米 | 南 西 北 | 精装 | 21层  | 板楼"
"1624764926-9394","https://hz.lianjia.com/ershoufang/yuhang/pg33","融创金成江南府 3室1厅 南","融创金成江南府","380万","单价42227元/平米","闲林","3室1厅 | 89.99平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合"
"1624764895-9114","https://hz.lianjia.com/ershoufang/yuhang/pg42","边套户型，精装修，中间楼层的。","融创金成西溪海","550万","单价42583元/平米","闲林","3室2厅 | 129.16平米 | 南 北 东 | 精装 | 18层  | 板塔结合"
"1624764800-8267","https://hz.lianjia.com/ershoufang/yuhang/pg71","未来科技城之心，梦想小镇，居家精装三房","合景天峻","520万","单价58323元/平米","未来科技城","3室1厅 | 89.16平米 | 南 | 精装 | 24层  | 板楼"
"1624764774-8018","https://hz.lianjia.com/ershoufang/yuhang/pg79","西边套，地铁口，次新小区 中上楼层 采光视野好","奥克斯缔逸城","355万","单价40314元/平米","良渚","3室2厅 | 88.06平米 | 南 | 精装 | 31层  | 板塔结合"
"1624764731-7647","https://hz.lianjia.com/ershoufang/yuhang/pg91","远离高架，大三房，采光充足，好看好房","人和家园","399万","单价28968元/平米","留下","3室2厅 | 137.74平米 | 南 | 精装 | 11层  | 板楼"
"1624764882-9019","https://hz.lianjia.com/ershoufang/yuhang/pg46","户型方正，3开间朝南，诚心出售，采光好，得房率高","岸上蓝山","320万","单价28362元/平米","闲林","3室2厅 | 112.83平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼"
"1624764933-9458","https://hz.lianjia.com/ershoufang/yuhang/pg31","业主诚售，融创精装品质，双阳台视野佳，89方3室2厅","融创金成江南府","380万","单价42425元/平米","闲林","3室2厅 | 89.57平米 | 南 | 精装 | 高楼层(共26层)  | 板楼"
"1624764700-7427","https://hz.lianjia.com/ershoufang/yuhang/pg99","闲林镇上，二室一厅，低总价，毛坏房，随时看房。","庙山新村","153万","单价27176元/平米","闲林","2室1厅 | 56.3平米 | 南 | 简装 | 高楼层(共4层)  | 板楼"
"1624765012-10188","https://hz.lianjia.com/ershoufang/yuhang/pg7","享受生活意境  视野宽阔 采光充足","风雅乐府","330万","单价37582元/平米","万达广场","3室2厅 | 87.81平米 | 南 | 精装 | 30层  | 板楼"
"1624764719-7563","https://hz.lianjia.com/ershoufang/yuhang/pg94","二期经典117户型，中间楼层户型方正，小区中间位置","亲亲家园二期","417万","单价35703元/平米","三墩","3室2厅 | 116.8平米 | 南 | 简装 | 6层  | 板楼"
"1624764860-8786","https://hz.lianjia.com/ershoufang/yuhang/pg53","满五三开间朝南采光好位置好楼层好诚心出售随时看房","爵士风情花园","315万","单价28541元/平米","闲林","3室2厅 | 110.37平米 | 南 | 精装 | 中楼层(共6层)  | 板楼"
"1624764917-9327","https://hz.lianjia.com/ershoufang/yuhang/pg35","融创品质 大阳台双卫 户型方正 次新小区 诚心出售","融创金成江南府","370万","单价41116元/平米","闲林","3室2厅 | 89.99平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合"
"1624764972-9815","https://hz.lianjia.com/ershoufang/yuhang/pg19","顶跃使用面积多，毛坯房，可根据自己的装修风格装修。","铭雅苑东区","325万","单价27828元/平米","三墩","4室2厅 | 116.79平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼"
"1624765000-10063","https://hz.lianjia.com/ershoufang/yuhang/pg11","封闭式小区，人车分流，配套成熟，适合居住","九衡公寓","276万","单价23333元/平米","良渚","3室1厅 | 118.29平米 | 南 | 毛坯 | 10层  | 板塔结合"
"1624765012-10163","https://hz.lianjia.com/ershoufang/yuhang/pg7","（面对小区花园，婚房装修）中高楼层视野好","万科北宸之光三期拱宸","375万","单价42055元/平米","万达广场","3室1厅 | 89.17平米 | 南 西 | 精装 | 24层  | 板楼"
"1624764831-8521","https://hz.lianjia.com/ershoufang/yuhang/pg62","绿城楼盘，经典大四房，户型方正明亮，南北通","绿城桃源小镇","535万","单价31167元/平米","闲林","4室2厅 | 171.66平米 | 东南 | 精装 | 17层  | 板塔结合"
"1624765009-10160","https://hz.lianjia.com/ershoufang/yuhang/pg8","未来城三期  不沿高架不沿马路  诚心出售","万科未来城三期梦溪里","305万","单价36224元/平米","良渚","3室1厅 | 84.2平米 | 南 | 精装 | 21层  | 板塔结合"
"1624765003-10072","https://hz.lianjia.com/ershoufang/yuhang/pg10","开发商精装修 没住过 诚心出售","万科未来城三期梦溪里","420万","单价38515元/平米","良渚","3室2厅 | 109.05平米 | 南 | 精装 | 21层  | 板塔结合"
"1624764904-9212","https://hz.lianjia.com/ershoufang/yuhang/pg39","中间楼层 精装修 业主诚心出售","绿城桃源小镇","280万","单价31005元/平米","闲林","2室2厅 | 90.31平米 | 南 | 精装 | 17层  | 板塔结合"
"1624764879-8964","https://hz.lianjia.com/ershoufang/yuhang/pg47","毛坯 房东诚售 交通方便 中间楼层 交通方遍","棠梨家园","350万","单价24500元/平米","闲林","3室2厅 | 142.86平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼"
"1624764979-9873","https://hz.lianjia.com/ershoufang/yuhang/pg17","精装带地暖四房两卫，全屋实木家具，中上楼层8月满五","富力西溪悦居","830万","单价60124元/平米","未来科技城","4室2厅 | 138.05平米 | 南 | 精装 | 11层  | 板楼"
"1624764794-8191","https://hz.lianjia.com/ershoufang/yuhang/pg73","荆山翠谷跃层住宅出售，精装修房东诚心出售","荆山翠谷","415万","单价23084元/平米","闲林","4室2厅 | 179.78平米 | 南 | 精装 | 5层  | 板楼"
"1624764765-7925","https://hz.lianjia.com/ershoufang/yuhang/pg82","开发商精装修、万科物业、三房两卫、房东诚售","万科杭宸一期","470万","单价52809元/平米","勾庄","3室1厅 | 89平米 | 南 | 精装 | 18层  | 板楼"
"1624764716-7544","https://hz.lianjia.com/ershoufang/yuhang/pg95","二期 采光视野好 精装修夹边套  诚心出售","翡翠城二期","400万","单价44683元/平米","翡翠城","2室1厅 | 89.52平米 | 南 | 精装 | 18层  | 板楼"
"1624764727-7613","https://hz.lianjia.com/ershoufang/yuhang/pg92","老余杭镇简装小3房  房东诚心出售","中园花苑","240万","单价27737元/平米","未来科技城","3室1厅 | 86.53平米 | 南 | 简装 | 6层  | 板楼"
"1624764953-9650","https://hz.lianjia.com/ershoufang/yuhang/pg25","五常板块，业主自住精装修，满5年，诚心出售","润和西溪郡","355万","单价39546元/平米","闲林","3室2厅 | 89.77平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合"
"1624764727-7631","https://hz.lianjia.com/ershoufang/yuhang/pg92","东边套，河景房，视野觉好，房东诚心出售","上实海上海二期","420万","单价35883元/平米","良渚","3室1厅 | 117.05平米 | 南 | 简装 | 27层  | 板楼"
"1624764972-9820","https://hz.lianjia.com/ershoufang/yuhang/pg19","楼层好 采光好 房东诚心卖 小区安静 空气好 适合居住","径铭家园","75万","单价11793元/平米","未来科技城","2室2厅 | 63.6平米 | 南 东北 | 毛坯 | 中楼层(共6层)  | 板楼"
"1624764929-9430","https://hz.lianjia.com/ershoufang/yuhang/pg32","绿城法式叠排 绿城物业 下叠有地下室和花园 房东诚售","绿城桃源小镇","700万","单价54688元/平米","闲林","3室2厅 | 128平米 | 南 | 毛坯 | 下叠(共5层)  | 板塔结合 | 叠拼别墅"
